Order_id,pizza_size,Order_time,amount,Order_type,pizza_name,beverages,cust_id,emp_id
01HD76C8WZE6FVA6QPDNFVDPME,Extra Large,2023-05-04 10:18:36,919,Offline,Supreme,Pepsi,05-098-8078,574
01HD76C8XS2CHNVRRPSF7F45KC,Large,2023-03-12 00:57:50,1692,Offline,Mushroom,Pepsi,39-785-6286,628
01HD76C8XV98P7D3RBH2765MNX,Small,2023-05-23 17:44:37,334,Offline,Margherita,Iced Tea,20-743-6275,865
01HD76C8XYDWKZ30ZYG01WJZQ7,Large,2023-04-14 12:58:15,620,Offline,Mushroom,Tea,29-957-6633,695
01HD76C8XZGSGWGE8HBJPSP6D4,Extra Large,2023-04-12 09:23:30,1037,Online,Supreme,Iced Tea,10-214-0692,975
01HD76C8Y01GFJRF544HVTA4FE,Small,2022-12-07 01:59:06,375,Online,Mushroom,Pepsi,93-070-9072,264
01HD76C8Y252BXDS9YGBWEVX0M,Medium,2023-05-02 01:44:47,435,Online,Vegetarian,Tea,43-146-0470,238
01HD76C8Y37BPZBNSXTPVD2T7C,Medium,2023-04-30 23:24:31,446,Online,Margherita,Tea,05-935-6808,350
01HD76C8Y6ADYR09M7KZ2ZZEA2,Medium,2023-07-15 02:16:10,1838,Online,Mushroom,Pepsi,46-001-5313,512
01HD76C8Y83EYBSDM8SCT510DK,Large,2023-03-06 01:50:32,315,Online,Mushroom,Sprite,64-315-9772,109
01HD76C8Y9A1XFFKT3TX34FCZM,Large,2022-11-30 16:09:57,315,Offline,BBQ Chicken,Fanta,54-223-7423,847
01HD76C8YAKRNCWMPDSBJ484P1,Large,2023-06-29 22:02:35,768,Offline,Hawaiian,Coca-Cola,58-018-8663,103
01HD76C8YCMF5VBATZNS48KSF3,Medium,2023-03-11 22:12:34,397,Online,Margherita,Iced Tea,93-092-2567,538
01HD76C8YEWMM25FG2STF5WH1C,Medium,2023-05-21 21:06:50,892,Online,Margherita,Sprite,56-392-6102,304
01HD76C8YF7ZAE3W4CPG41HZRX,Small,2023-01-21 19:44:34,195,Offline,Hawaiian,Pepsi,36-785-3084,928
01HD76C8YHVMKN9B6X6RM878H2,Small,2023-01-27 21:48:36,270,Offline,Mushroom,Iced Tea,10-863-8849,459
01HD76C8YKD00YSJ91E4PBZC6X,Extra Large,2023-05-30 10:13:41,646,Offline,Margherita,Pepsi,60-897-8579,500
01HD76C8YMQBZNRJE8C830SXY3,Small,2023-04-01 04:32:40,1969,Offline,BBQ Chicken,Lemonade,72-046-6512,796
01HD76C8YPM8PRDVABCE97J574,Medium,2022-12-06 23:42:55,1821,Offline,Hawaiian,Coffee,07-845-3703,194
01HD76C8YR8AR4TC4V4FAAJTQS,Small,2023-07-14 09:35:24,760,Offline,Vegetarian,Water,88-987-2841,81
01HD76C8YT4SD0J4M6B3MYTMGF,Large,2022-10-30 10:12:41,1498,Online,Vegetarian,Tea,33-652-0909,894
01HD76C8YWSD5HTDM7CGZCC7Y0,Small,2023-08-24 13:05:03,1110,Offline,Neapolitan,Coffee,56-566-8532,202
01HD76C8YXFG1V6A4BKTCTNKA8,Large,2023-03-23 03:11:11,1348,Online,Vegetarian,Iced Tea,62-038-8818,595
01HD76C8YYWB4K0FPRPW8BT34T,Medium,2023-09-29 21:09:06,1470,Offline,Supreme,Iced Tea,84-282-3364,609
01HD76C8Z0NNDWTK6X7GQMFTVP,Medium,2023-10-05 20:47:59,1326,Offline,Margherita,Coffee,67-225-9131,538
01HD76C8Z2Y83M9XDPQ9GQHZY9,Large,2023-03-09 21:18:29,1861,Online,Neapolitan,Orange Juice,69-728-4691,354
01HD76C8Z3Q17B7TQCJVEW82T0,Small,2023-06-24 22:33:15,1963,Offline,Pepperoni,Orange Juice,95-636-7299,280
01HD76C8Z574Z43S43HH852BRK,Extra Large,2023-08-01 13:21:05,1347,Offline,Margherita,Orange Juice,92-150-7359,9
01HD76C8Z7WEMQN4NET6DJGVY7,Medium,2023-05-16 05:56:58,217,Online,Vegetarian,Iced Tea,13-519-9059,215
01HD76C8Z8N9ZBSZFX3ZPWJZ2H,Extra Large,2023-09-21 19:25:46,1699,Online,BBQ Chicken,Fanta,22-932-7116,909
01HD76C8ZA6C2CY34ANRJNTGAS,Large,2023-01-09 18:36:10,381,Offline,Pepperoni,Coffee,23-158-1028,493
01HD76C8ZC5E7784A3BZG0X8AG,Extra Large,2023-02-03 21:46:46,1736,Online,Neapolitan,Sprite,32-565-0252,48
01HD76C8ZF1E8ZY4J0M93ZJDMQ,Small,2023-05-20 09:22:37,1196,Offline,Pepperoni,Iced Tea,92-939-7915,958
01HD76C8ZJK208E3HGM5HDW2XV,Large,2023-10-04 09:20:39,1640,Offline,Neapolitan,Fanta,54-681-7629,382
01HD76C8ZNPZK916PR521E2JQH,Large,2023-07-26 06:13:55,124,Offline,Supreme,Root Beer,77-213-0014,686
01HD76C8ZQ21571PM7BJMNWGK7,Extra Large,2022-12-19 19:02:20,506,Offline,Mushroom,Coca-Cola,39-297-4031,926
01HD76C8ZSGR1407N9BPA2CBX1,Extra Large,2023-01-29 14:36:10,595,Offline,Mushroom,Pepsi,29-866-5353,89
01HD76C8ZV9CK1ETCJMR2XSD05,Small,2023-09-27 18:39:11,286,Offline,Pepperoni,Fanta,59-213-3761,389
01HD76C8ZW65N1AZVM3WERYKJ8,Medium,2023-06-21 04:20:26,521,Offline,Mushroom,Coffee,65-303-3034,141
01HD76C8ZYDQ8EBK5FR8402F14,Medium,2023-09-28 08:23:29,1864,Offline,Margherita,Lemonade,39-339-5311,60
01HD76C900ZJWPK6RBQMWVB781,Large,2023-10-16 05:12:09,1329,Online,Vegetarian,Root Beer,46-001-5313,7
01HD76C901G10C952NPNKMZBEA,Medium,2023-01-27 06:16:56,1176,Online,Supreme,Tea,96-744-8702,124
01HD76C903N9DP72JAZ4DC6CBV,Medium,2023-01-07 22:10:50,516,Online,Mushroom,Lemonade,98-507-6857,738
01HD76C904KAD6Z1W041ZH7FBC,Extra Large,2023-03-19 17:28:16,1123,Online,BBQ Chicken,Tea,43-933-3277,636
01HD76C906ZCNZ51ZRC3M6MTK2,Small,2023-01-03 03:28:36,774,Online,Mushroom,Fanta,93-820-3574,846
01HD76C908BH8KNERBB7SF4B7T,Large,2023-07-28 06:49:30,1518,Online,Margherita,Coca-Cola,02-066-2465,76
01HD76C9097JHF0W7C3P6FFFHY,Small,2022-11-11 01:06:33,926,Offline,Mushroom,Pepsi,68-835-8287,372
01HD76C90B8VZJXD0BQFWC6R4V,Extra Large,2023-09-03 04:45:16,1836,Offline,Supreme,Root Beer,23-511-8965,262
01HD76C90DTCY7BQ7KB7BQR25X,Small,2022-12-08 22:00:13,885,Offline,Neapolitan,Sprite,21-128-3713,628
01HD76C90ENX56YYGYWNJF9NWX,Extra Large,2022-11-17 13:07:53,1123,Online,Pepperoni,Coca-Cola,76-063-8129,277
01HD76C90GDCXFR0V0Y279J64Z,Extra Large,2023-02-01 07:36:32,1248,Online,Pepperoni,Tea,05-561-9384,404
01HD76C90JYTXS8CP6EBVRC57E,Small,2023-02-24 12:21:31,877,Offline,Vegetarian,Fanta,51-638-8212,528
01HD76C90ME8ZNRGSSXEQ39SF9,Small,2022-12-28 15:02:06,608,Online,Supreme,Tea,85-088-6648,332
01HD76C90N4KFBEV28M71FHQXS,Small,2023-02-14 08:57:34,700,Online,Vegetarian,Orange Juice,42-638-2220,79
01HD76C90QXNWBKT7ATJFA38E3,Medium,2023-08-22 00:51:33,234,Offline,Hawaiian,Tea,05-987-6787,305
01HD76C90SZAZD1VBZCQYBH0FA,Medium,2023-03-19 23:30:47,446,Online,Vegetarian,Iced Tea,86-426-4065,780
01HD76C90TQ4KR17SZDK9Z0KCV,Large,2023-07-03 12:34:17,123,Offline,Margherita,Fanta,95-652-9020,360
01HD76C90W14P23GE0H22EQXSZ,Small,2023-05-10 05:02:58,101,Online,Mushroom,Root Beer,82-486-6040,226
01HD76C90YNEQF9JWQC5JRTA1Y,Medium,2023-02-01 10:16:02,423,Offline,Hawaiian,Sprite,61-365-6009,228
01HD76C90ZAGEQP9CC1BE2WY7H,Large,2023-05-15 17:28:24,395,Offline,Supreme,Sprite,20-972-3834,550
01HD76C91040NF4ZYH6E6463QC,Extra Large,2023-10-15 13:03:55,894,Online,Pepperoni,Orange Juice,11-317-0734,103
01HD76C912Z8TDY4D0680TKE4Y,Medium,2023-04-12 02:45:24,1577,Offline,Vegetarian,Tea,91-524-6372,931
01HD76C913TA6CM69PBQH6CMQR,Medium,2023-05-06 16:02:02,281,Offline,Vegetarian,Coca-Cola,68-515-3486,345
01HD76C915KVM5250ZAW3XM5TC,Medium,2023-08-30 03:46:51,1956,Offline,BBQ Chicken,Fanta,07-966-7751,165
01HD76C9179MJ548419RZPB2AR,Large,2022-12-24 01:09:19,532,Online,Pepperoni,Lemonade,55-840-1375,381
01HD76C919M06P1YEAB6PRMN3H,Large,2022-10-22 01:00:19,671,Online,Mushroom,Sprite,29-506-1946,529
01HD76C91B59H77S61EAWPF0NJ,Small,2023-09-14 08:48:55,1276,Online,Pepperoni,Sprite,62-114-7575,746
01HD76C91DRD1828337YRYTPZ7,Large,2023-02-14 16:11:15,1612,Online,Supreme,Tea,40-548-2852,931
01HD76C91FZ1R6NX88EYM3G0MM,Medium,2023-03-22 02:32:39,1123,Offline,Mushroom,Fanta,20-364-2451,940
01HD76C91H087DCBKQ97YKVNZY,Small,2023-06-21 15:55:07,313,Offline,BBQ Chicken,Tea,18-527-4309,963
01HD76C91JSEPHJPNJKWJ0BKAC,Large,2023-01-13 15:16:27,474,Offline,Hawaiian,Fanta,11-843-5674,479
01HD76C91MFMNSR10XRG08QTGJ,Extra Large,2023-01-16 16:53:20,1684,Offline,Hawaiian,Water,45-948-8705,644
01HD76C91PDMWH2G1F4A5J0BRJ,Large,2023-07-17 03:01:04,261,Online,Neapolitan,Root Beer,80-754-9226,369
01HD76C91Q3B56XEZEAPC795NA,Small,2022-11-13 03:24:43,1180,Online,Hawaiian,Orange Juice,58-443-0200,678
01HD76C91RW3RNG19MW9PZZKD4,Small,2023-01-04 19:48:52,1640,Online,BBQ Chicken,Tea,42-638-2220,632
01HD76C91T68NXAXNGWV5KYRVR,Extra Large,2023-01-20 19:57:47,1491,Online,Neapolitan,Water,61-679-1145,813
01HD76C91VBGFAQ7MWVEHY2Y4H,Extra Large,2023-04-26 15:49:24,1290,Offline,Supreme,Root Beer,22-879-4648,65
01HD76C91XB6VW03ADZ3F1FGY9,Extra Large,2023-02-27 01:38:24,1340,Offline,Hawaiian,Fanta,35-280-6705,904
01HD76C91Y06BC2YSC98CEH8Y3,Extra Large,2023-06-04 07:54:06,1302,Offline,Pepperoni,Lemonade,80-293-4331,379
01HD76C9205XGA2PD4KVWJQP12,Large,2023-07-07 00:44:27,104,Offline,Vegetarian,Tea,19-252-7453,957
01HD76C922WKH3FB58FHZSK3MJ,Medium,2023-05-16 08:05:14,307,Offline,Margherita,Iced Tea,10-148-6407,356
01HD76C923VCT4FFB09KCZ2SZ9,Extra Large,2023-04-23 09:59:42,211,Offline,Pepperoni,Coca-Cola,42-339-9895,768
01HD76C924XPN3T9CNDYE86P5Q,Small,2023-06-15 16:31:27,129,Offline,Vegetarian,Lemonade,59-685-2211,830
01HD76C9260APBRCZXZ00NR7JF,Large,2023-04-26 23:55:56,767,Offline,Neapolitan,Pepsi,60-897-8579,314
01HD76C927WRTYFWRGCTG5YTB6,Extra Large,2023-02-16 19:09:03,535,Offline,Supreme,Pepsi,01-134-6289,612
01HD76C92AR7C8ZG0XM4KTGWA5,Medium,2023-08-18 21:51:06,692,Online,Supreme,Iced Tea,88-691-1493,760
01HD76C92C5HBDW61ZRSJW4VXW,Small,2022-11-08 19:01:09,1339,Online,Neapolitan,Sprite,61-617-0495,86
01HD76C92F2S4FF9432M3MBJDQ,Medium,2023-04-18 22:13:57,1395,Online,Supreme,Root Beer,05-987-6787,445
01HD76C92H9CGS9TYMDHWT15HN,Medium,2023-02-22 10:02:04,123,Online,BBQ Chicken,Root Beer,44-853-0293,938
01HD76C92KSGVMVMDD6GM92130,Large,2022-10-29 08:02:51,1306,Online,Margherita,Root Beer,16-281-6561,569
01HD76C92PH881R5SJZNQHHG22,Small,2023-01-02 21:52:54,990,Online,BBQ Chicken,Water,23-065-9411,620
01HD76C92RF33T3MGZPHJ67C6M,Small,2023-05-28 12:40:36,1439,Online,Mushroom,Pepsi,82-085-3449,996
01HD76C92TNK5MV90DVERQKQ69,Medium,2023-06-20 22:26:44,729,Offline,Vegetarian,Pepsi,19-752-2157,483
01HD76C92X2ZWRAZ4QFQCV0JVH,Large,2023-04-18 12:26:39,220,Online,Neapolitan,Fanta,91-656-9885,991
01HD76C92ZR046EP8CA60ZJ4V1,Extra Large,2023-09-22 10:43:10,314,Offline,Vegetarian,Fanta,29-808-6640,858
