Paymet_id,Paymet_type,amount,payment_date,cust_id,order_id
01HD791FVHRXWX8XXDXNDADTX0,Cash,1125,2022-12-14 06:14:09,85-580-0785,01HD76C9G6F2472002KNBQAJ0T
01HD791FXBSQGPXM081JGQSJH4,Credit Card,541,2022-12-09 04:47:10,75-314-3365,01HD76C94K5WWXG0CWAWXD8187
01HD791FXE3S5R663X214810JR,PayPal,1998,2022-12-01 14:49:27,25-101-8113,01HD76C942SDKRJYT1JCM9AYJK
01HD791FXFDJH8WEJQ02NKVPJ4,Credit Card,1783,2023-01-01 20:39:11,15-386-0656,01HD76CA9MXTEVNVPCQ8PVG6C4
01HD791FXG7Q7E32HKMP79B6EC,Credit Card,1407,2023-03-06 01:49:48,45-352-1238,01HD76CA6GVQY2DNZBGF9H1DV0
01HD791FXHTPY90WXA7XMF0N22,Cash,1927,2022-11-08 19:55:45,92-772-5933,01HD76C9H54CFWAFM0TC6N1ZEK
01HD791FXJG0K6SZ1J0PP9ZHDN,Credit Card,1109,2023-03-06 00:04:57,27-672-8520,01HD76C9SFMGTN0Q4977XB6QQ0
01HD791FXKZ9D9CEDQ459JXGVG,Cash,723,2023-08-15 08:48:50,68-556-9364,01HD76C9HP8D5FWQAXWXJ58V20
01HD791FXMAP4528MN1W8KS5ZA,Cash,1856,2023-10-05 13:36:19,04-119-5848,01HD76C9HJ16TTSZ3VJWCVMF43
01HD791FXNJ4VPW3V63C4DS4MA,Cash,1762,2023-06-14 13:46:20,49-561-6334,01HD76C9PFF7RMWRC59E3HBQ99
01HD791FXP1TVETXDDEAH3JXK7,Credit Card,1973,2023-02-13 14:46:18,08-759-3968,01HD76C9894B1CRTVR5VDWMTKH
01HD791FXPRSGV6A3P0JBZYRY7,Cash,1229,2023-03-04 10:27:32,27-250-5612,01HD76C9R8DVF7S7SJ327QGSKJ
01HD791FXQ92WA2GA549JM6RS1,Cash,226,2023-05-21 18:53:53,25-730-4169,01HD76C9JBZM568WMPR87WSD52
01HD791FXSRZXZA02HZXXH9VT8,Cash,1156,2023-09-26 04:30:21,16-476-4554,01HD76C97HNH4A3RTK196C18SW
01HD791FXSZD4G8PXKQR4J2TAK,Cash,1353,2023-01-17 01:43:20,68-970-9001,01HD76C92AR7C8ZG0XM4KTGWA5
01HD791FXTWCF7PK9WHRM2AJ2B,Cash,552,2023-01-13 05:13:28,84-485-1706,01HD76CAHXRTM0W91SV4VZQC7J
01HD791FXV5XERMKV7FYD5DYZY,PayPal,827,2023-06-16 18:15:49,85-458-9359,01HD76C94HEVKRP51ACKKE1FMZ
01HD791FXWWSAPXTQ319ZN1JYB,PayPal,1151,2022-11-07 23:54:15,23-883-6224,01HD76C9FS9DSVV5PS0W75C6V0
01HD791FXXMJ95VJDEPCXTX6VS,Credit Card,1080,2023-09-21 07:46:17,58-757-8439,01HD76C9W9RN2WS5XEYY0SCP4C
01HD791FXY7W70C8N3JDH5V9SW,Cash,1083,2023-05-24 20:01:10,38-729-7029,01HD76CA8NC5ZC8W9TZ6N3QS1C
01HD791FXZADESA00GEV8HST1F,Credit Card,1217,2022-12-21 21:41:38,57-608-8706,01HD76C913TA6CM69PBQH6CMQR
01HD791FY08QSN75B8D1S8WVWG,Credit Card,106,2023-07-08 10:17:19,33-192-4836,01HD76C9ZFS4HK7GF00VDBAFFQ
01HD791FY125C0VPV2E5ZKDTAN,Credit Card,697,2022-12-12 12:24:09,32-739-2857,01HD76C97YRGT9RBG351M4ZD2Z
01HD791FY2KBEEVFY61KHZT0JQ,PayPal,142,2023-08-21 11:49:12,58-980-9484,01HD76C8ZA6C2CY34ANRJNTGAS
01HD791FY3QS55A2RRX8EK78XX,PayPal,861,2023-03-24 10:02:59,52-779-9590,01HD76C9WXVHWW03V4CZZ6FXX6
01HD791FY38PAE93DEGHWEPPCY,Cash,1100,2023-09-05 22:08:20,99-920-8143,01HD76C9MMRTWEMNWS5FADE5P0
01HD791FY5TEVGZGQMNQE0Z53P,PayPal,302,2023-09-11 03:06:32,43-582-4698,01HD76CA1KFVV7J4JMX9N305DV
01HD791FY5PNCF9SJ8HJFDYAMJ,PayPal,576,2023-09-12 00:28:11,68-353-5085,01HD76C9R9BW2N3S3FDT1HRXPE
01HD791FY6FRBGFJKCXAGK39ZD,Cash,817,2023-03-09 02:43:13,31-808-8524,01HD76C9ZW629MBCYSNANWK89X
01HD791FY7QEREBA7T5YK8HAZH,PayPal,708,2023-03-06 06:45:48,49-081-0864,01HD76C8YEWMM25FG2STF5WH1C
01HD791FY83MG9TBCPMWGZH8PK,PayPal,1411,2023-10-09 09:00:06,04-830-6952,01HD76C8YWSD5HTDM7CGZCC7Y0
01HD791FY9H8RCP084QN9G3ZZF,PayPal,1844,2023-01-16 16:02:09,97-062-9588,01HD76CA91D65GNJG121WYBYYT
01HD791FYA6CH2ZS01850KHM16,PayPal,310,2023-07-25 03:01:04,12-676-6654,01HD76CAA8RZVA70P7CME1E39Z
01HD791FYAA4NDWYXV4FVWG313,PayPal,693,2023-04-12 03:55:01,29-511-1962,01HD76C9GRCDD27JEY0DKTQW6B
01HD791FYBW9H8BNEH1ZTPVT0D,PayPal,1811,2023-01-10 08:46:52,79-963-1014,01HD76C9Q17K81JNRS9WHENSBD
01HD791FYCDDCYVYPABK13S18A,PayPal,341,2023-09-06 06:10:34,15-116-4191,01HD76C9EP6WH6BV5BPZC6ZF85
01HD791FYCNMMGKA33CFF46BP0,Cash,1834,2023-01-05 22:48:25,80-598-6080,01HD76CA0ERZV3MDGZAVAPTHRX
01HD791FYDQ7HNRXTX4DAJTDW9,PayPal,621,2023-06-07 18:48:21,45-560-6043,01HD76CA3TRKHWBMRA472V9K2Z
01HD791FYEMK2GGPNGNFA7CE5R,PayPal,213,2022-11-24 17:50:40,79-417-8905,01HD76C9DFT5H3YC7MY5Z1QCM6
01HD791FYEYMG331FHY2CFR2X6,Credit Card,1322,2023-06-20 12:21:32,29-641-1673,01HD76C9DJ97BR1VZF4VR49WST
01HD791FYFKJ8DG5JJZ82H4WTK,Cash,1847,2023-02-20 19:39:00,27-537-5740,01HD76C9RNQNK2X5SKVCCNRYGG
01HD791FYGAFA9XRDH3VD6Z2VV,Cash,1972,2023-10-02 18:52:34,73-651-9458,01HD76C9N1JGWCCNXGTM7SXXVQ
01HD791FYH2H3G63X82HH0RKYZ,Credit Card,598,2022-11-27 15:58:40,95-522-8855,01HD76C99ZYQRHXSPQTKKPP9H8
01HD791FYJAXKNV6YMN9S3JK7E,Credit Card,111,2023-09-22 05:15:16,52-731-6688,01HD76C957BK67T43YBXBC340E
01HD791FYK7TYPRRSFNZ0ANMYC,Cash,672,2023-05-09 03:50:44,15-733-3214,01HD76C9JYTHEZ6HB2EY87CWZS
01HD791FYMPQ7ANM2DDESB7T24,PayPal,1162,2023-03-27 13:15:10,41-123-1640,01HD76C8YEWMM25FG2STF5WH1C
01HD791FYMFY9CA0AVHYM6PS19,PayPal,852,2023-07-17 23:29:48,94-667-3543,01HD76C9EVKZ0Z3DHDFZDKRSMZ
01HD791FYN5SCP1ZX2FPSH82HQ,PayPal,149,2023-03-17 18:05:24,72-269-5198,01HD76CAD4R3SJM00R6B7QX5S1
01HD791FYQF1M8TJ2JR96H79DF,Cash,437,2023-05-18 21:58:07,82-786-9318,01HD76C9EY05HWQR6RDY26A6ZZ
01HD791FYRSNSV0WBZMMEVJNF0,Cash,1381,2023-03-26 13:21:43,88-203-9582,01HD76CAA2KPXWH8N7CKPK7R67
01HD791FYS3KJCWQRZM9XYCY00,PayPal,1596,2022-11-15 18:24:46,87-236-1286,01HD76CA00DJV7QAG0DJEHQ267
01HD791FYS0H85MQ3HV83WZW4X,PayPal,209,2023-08-11 19:08:33,58-620-6433,01HD76C9F1CZTK8A0AM4MHQ426
01HD791FYT1MDNF7TKW92Y8VCD,Cash,834,2023-09-04 05:35:40,68-317-5628,01HD76C9SR9Q0SMXYWVRVW0K40
01HD791FYVA1MH5MEQXWE0H3GE,Cash,1722,2023-02-05 11:21:46,19-670-3854,01HD76C9TJSMJP8GBG6XS2KGYQ
01HD791FYWNRHFTCPAJMWYDKN5,PayPal,298,2023-03-22 20:48:13,59-778-3686,01HD76C9KN4TXZYQS1MSTH8X53
01HD791FYXV1ZJ51XVKFMYWY83,Cash,204,2023-03-27 23:22:56,53-016-6972,01HD76C8ZA6C2CY34ANRJNTGAS
01HD791FYYSB8WF64Y0DWN3A9C,PayPal,417,2023-01-02 10:41:56,79-549-5323,01HD76CA1CVB0DXVACRKMAWKJM
01HD791FYZ93CZZ9E3TZ5VHVZF,PayPal,1744,2023-04-13 05:40:28,94-412-8057,01HD76C919M06P1YEAB6PRMN3H
01HD791FZ05R233J41J7W9ZRND,Credit Card,689,2023-01-29 05:45:51,53-583-5404,01HD76C9PK09SFTAM6DKZ96JGX
01HD791FZ15EQPBSXBFAREEBZ2,Credit Card,1424,2023-03-01 02:14:54,70-742-1858,01HD76C97MDCW8PHKT1M8PW1W0
01HD791FZ15JXHPYH6T6N6WGE5,PayPal,561,2023-02-11 21:59:01,55-091-5328,01HD76C9M8WX81B300HZXH8YND
01HD791FZ22DA6PJV6DVXD6HMV,Cash,364,2023-01-24 02:53:33,66-490-0693,01HD76CACHMH7KAR1D8B4H4T1G
01HD791FZ4FTQRDGSQ2M6NC8A1,Cash,464,2023-04-12 01:29:32,20-384-8783,01HD76CAACD22QETBS3E16R8NH
01HD791FZ69NBP33469RWG8CFH,Cash,1600,2023-08-29 08:48:45,45-614-9429,01HD76C927WRTYFWRGCTG5YTB6
01HD791FZ7E2Z80TF4M89QWWZ9,Credit Card,205,2023-07-14 14:22:24,65-278-8218,01HD76CA942VFBC27TR0WSG1RJ
01HD791FZ95CCWWARHP9BMCW1M,Credit Card,703,2022-11-24 21:36:05,07-053-2354,01HD76C9D9T8EGQTD20V735JKJ
01HD791FZ9V8685ENXKN60AM5B,PayPal,859,2023-04-12 13:59:58,16-788-4374,01HD76C92TNK5MV90DVERQKQ69
01HD791FZATPR69ED6H0AC1NH8,Cash,1124,2023-08-31 03:40:51,22-494-2508,01HD76CA07DRVVHRRXTSP5HVWY
