Shop_id,shop_name,shop_latitude,shop_longitude,daily sales,order_per_day,cust_id,order_id,emp_id
05785,shop 7,-34.6504677,-58.5613439,475,12,80-434-6047,01HD76CAAB8JG3HVHAV6G2MQJY,800
1,Shop 2,47.343506,6.309262,281,19,44-735-6750,01HD76C915KVM5250ZAW3XM5TC,731
9,Shop 2,-7.5450262,111.6556388,319,8,53-832-7451,01HD76C98H0CZ17GPYPJEKRNTJ,966
963,Shop 2,-18.7942434,-67.0464591,351,8,77-600-7467,01HD76CA1KFVV7J4JMX9N305DV,312
49349,shop 5,15.9866126,120.3656906,395,19,03-810-8711,01HD76C9JGC4TM4N23BEGRERMW,329
4,shop 8,-3.0443341,-69.097023,137,9,42-942-6729,01HD76C9NWCK0P0H0X17FFAKM1,210
782,shop 9,-34.6833725,-58.429967,128,17,65-091-1700,01HD76CA5RYWF9JWQA3HGMJ8KQ,377
57788,shop 7,43.7071168,44.643763,370,18,91-646-2955,01HD76C91PDMWH2G1F4A5J0BRJ,777
53,Shop 2,-6.4991921,106.8915948,413,18,59-255-0251,01HD76C9K2Q14GAGR0CJHV666Y,368
0,Shop 1,-40.5761897,-73.1149469,175,8,83-316-0161,01HD76C9EKB5TBJYYEGYRPB0QB,296
9,shop 5,-12.257739,43.6723087,344,14,00-158-5165,01HD76C9RB5GF6MTRAMC8Y5YE7,401
6,shop 9,37.8512533,140.6090975,386,17,68-708-3209,01HD76C9MXDWG38KKWZPQ4A568,648
9,Shop 3,47.5155739,40.8140313,196,15,88-353-0526,01HD76C9WCHEE536G2T6S4FSGW,879
9213,shop 10,58.2031055,40.1130016,446,19,87-588-5331,01HD76CA721DF89SZ6XYXE2KV5,996
2,shop 5,-41.1254857,-71.2485941,140,18,75-126-2315,01HD76C8Z574Z43S43HH852BRK,288
08,shop 4,36.7225782,25.2825598,446,7,42-253-6336,01HD76C9C27FG09Y319JR7H4P4,443
31585,Shop 3,41.0606685,24.0475546,387,7,56-671-9304,01HD76C9FWPGY6SVPEGYV9N6JX,204
9491,Shop 2,24.9372186,118.6422409,418,15,27-537-5740,01HD76C9FYQT79JRSTD6VYSAG9,248
5370,shop 10,15.2904851,-86.9135745,499,8,98-922-4492,01HD76C9AX8D0NZ71D4HAS879X,741
6,shop 10,12.0166664,123.6833344,489,17,71-412-7986,01HD76C9A92BQRKJ34ZP6X1A2J,697
53105,shop 8,39.3547141,67.8569785,417,14,00-867-8155,01HD76C98Z18T38MF9PJ2H6RJ3,95
72,Shop 1,42.9577803,19.0943627,210,16,75-314-3365,01HD76CAG5R5MC1VAX3ATEZG25,545
50,shop 7,34.262709,108.355232,261,18,52-675-0383,01HD76CA76P4QDC60HF2BES3DZ,45
